L_id	headword	headword_slp1	root	root_slp1	root_source	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
207	akhinna	aKinna	khida	Kida	local		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	aKinna¦ tri0 Kida--BAve kta ta0
207	akhinna	aKinna					kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	sADye karmmaRi Kedarahite karttari ca . karttari kta na0
251	agnikārikā	agnikArikA	tvopacārāt	tvopacArAt	local		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	aRe karttf- [Page0054-b+ 38] tvopacArAt karttari Rvul . ag
262	agnicayana	agnicayana	ci	ci	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	yana¦ pu0 agniScIyate ADIyate anena ci--karaRe lyuw 6 ta
262	agnicayana	agnicayana	ci	ci	nearest-root		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	yuw 6 ta0 . agnyADAnasADane mantraBede, BAve lyuw 6 ta
263	agnicit	agnicit	mantra	mantra	nearest-root		BAve	action / abstract (bhāve)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	pUrvvakakftavahnisTApane agnihotriRi . BAve kvip . ag
264	agnicityā	agnicityA	ci	ci	local		BAve	action / abstract (bhāve)	kyap	kyap	Participle	kṛt affix 'kyap' -> -ya; future passive participle / gerundive | anubandha: k = kit -> no guṇa; p = pit -> anudātta		WIL	agnicityA¦ strI agneScityA ci--BAve kyap ni0
268	agnijāra	agnijAra	jṛ	jf	nearest-root		kartari	agent (kartari)	aṇ	aR	Relational / patronymic	taddhita affix 'aṇ' -> -a; patronymic / relational (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117)	ṇ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	agnijAra¦ pu0 jArayati jf--Ric--karttari aR agni
276	agnidagdha	agnidagDa	daha	daha	local		karmaRi	object (karmaṇi)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	i0 agninA agnyezwiviDAnena dagDaH daha- karmmaRi kta . SA
277	agnidamanī	agnidamanI	dama	dama	nearest-root		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	anI¦ strI agnirdamyate anayA dama--Ric--karaRe lyuw 6 ta
286	agninayana	agninayana					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	agnernayanaM mantraviDinA saMskAraH nI--BAve lyuw 6 ta
290	agniparikriyā	agniparikriyA	kṛ	kf	local		BAve	action / abstract (bhāve)	śa	Sa	Other	uncurated affix 'śa' | it-letters: sit (z): marks a sarvadhatuka / sit krt (3.4.113)		generic-decoder	I agneH parikriyA paricaryyA pari + kf- BAve Sa 6 ta
294	agnipraṇayana	agnipraRayana					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	naM mantrapUrvvakaM saMskAraH pra + nI--BAve lyuw 6 ta
304	agnimath	agnimaT					karaRe	instrument (karaṇe)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	dvayaGarzaRena vahnisampAdake yAjYike . karaRe kvip . ag
305	agnimantha	agnimanTa	mantha	manTa	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	agnimanTa¦ pu0 agnirmaTyate'nena manTa--karaRe GaY . ga
305	agnimantha	agnimanTa					karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	dBAvyate . tanmanTanasADane mantre ca . karaRe lyuw 6 ta
310	agnirakṣaṇa	agnirakzaRa					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	raBede, agnihotre, agni- hotragfhe ca . BAve lyuw . ag
314	agnirūpa	agnirUpa	rūpa	rUpa	local		karmaRi	object (karmaṇi)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	M varRo'sya, agniriva rUpyate 'sO rUpa--karmmaRi ac vA .
351	agnihotrahavanī	agnihotrahavanI	hu	hu	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	agnihotro'gniH havirvA hUyate'nayA hu- karaRe lyuw 6 ta
354	agnīdh	agnID	indha	inDa	local		BAve	action / abstract (bhāve)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	agnID¦ pu0 iDyate inDa--BAve kvip 6 ta
354	agnīdh	agnID					kartari	agent (kartari)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	kAtyA0 vA0 . SaraRArTe raRi AgnIDraH . karttari kvip . ag
361	agnīṣomapraṇayanī	agnIzomapraRayanI					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	Ip . tayoH saMskArikAyAmfci pAtryAYca . BAve lyuw . ta
367	agnyāhita	agnyAhita	dhāñ	DAY	local		karmaRi	object (karmaṇi)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	agnyAhita¦ pu0 agnirAhito yena A + DAY--karmmaRi kta, vA
370	agnyupasthāna	agnyupasTAna					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	0 . vahnerupAsanamantre . striyAM NIp . BAve lyuw 6 ta
404	agrasandhānī	agrasanDAnI	strī	strI	dhatupatha-join		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	DIyate jYAya- te'nayA kAryyaM sam + DA--karaRe lyuw NIp
409	agrahara	agrahara	hṛ	hf	local		kartari	agent (kartari)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	ra- deye vastuni, BAgAgre pu0 agra--hf--karttari ac . ag
413	agrahāra	agrahAra	hṛ	hf	local		karmaRi	object (karmaṇi)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	iyate utpannaSasyAdudDftya sTApyate hf--karmmaRi GaY . kz
434	agropaharaṇīya	agropaharaRIya	hṛ	hf	local		sampradAne	recipient (sampradāne)	anīyar	anIyar	Participle	kṛt affix 'anīyar' -> -anīya; future passive participle ('fit to be done') | anubandha: r indicatory -> accent; gerundive		WIL	a¦ tri0 agramupahriyate yasmE upa + hf--sampradAne anIyar . Sr
434	agropaharaṇīya	agropaharaRIya	upahriyate	upahriyate	local		karmaRi	object (karmaṇi)	anīyar	anIyar	Participle	kṛt affix 'anīyar' -> -anīya; future passive participle ('fit to be done') | anubandha: r indicatory -> accent; gerundive		WIL	AnoddeSye vAstudevAdO . agre upahriyate karmmaRi anIyar . pr
438	agha	aGa	agha	aGa	local		BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	aGa¦ na0 curA0 aGa--BAve ac . pA
438	agha	aGa					kartari	agent (kartari)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	yaGaM samprati heturEzyata” iti mAGaH . karttari ac . pA
445	agharuda	aGaruda	ruda	ruda	local		apAdAne	source (apādāne)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	roditi svakarmmAkzamatayA yasmAt ruda- apAdAne kvip 6 ta
445	agharuda	aGaruda	ruda	ruda	local		kartari	agent (kartari)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	diti na tu tatpratIkArAya Gawata ruda + karttari kvip . ro
450	aghaśaṃsa	aGaSaMsa					BAve	action / abstract (bhāve)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	“apAGaSaMsaMnudatAmarAti miti” vedaH . BAve ac 6 ta
466	aṅkadhāraṇa	aNkaDAraRa	dhṛ	Df	nearest-root		BAve	action / abstract (bhāve)	yuc	yuc	Agent — the doer	kṛt affix 'yuc' -> -ana; agent / action noun (yu -> ana) | anubandha: c = cit -> final acute accent (6.1.163)		WIL	amudrAdivEzRavacihnaDAraRe ca . Df--Ric BAve yuc . aN
467	aṅkana	aNkana	aṅka	aNka	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	aNkana¦ na0 aNka--karaRe lyuw . aN
467	aṅkana	aNkana					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	nasADanadravye gadA (ganIti) prasidDe . BAve lyuw . ci
467	aṅkana	aNkana					BAve	action / abstract (bhāve)	yuc	yuc	Agent — the doer	kṛt affix 'yuc' -> -ana; agent / action noun (yu -> ana) | anubandha: c = cit -> final acute accent (6.1.163)		WIL	triSUlAdi- cihnakaraRamiti prA0 raGu0 . BAve yuc . aN
505	aṅgaṇa	aNgaRa					karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	naM catvaramaNganA strI ceti tadarTaH . karaRe lyuw . yA
517	aṅgamardda	aNgamardda					BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	ake--sevake . aNgamarddanakArake tri0 . BAve GaY . de
522	aṅgarakṣaṇī	aNgarakzaRI	rakṣa	rakza	local		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	aNgarakzaRI¦ aNgaM rakzyate'nayA rakza--karaRe lyuw 6 ta
522	aṅgarakṣaṇī	aNgarakzaRI					BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	mmaBede aNgarakzaRasADana- mAtre tri0 . BAve lyuw . de
523	aṅgarāga	aNgarAga	ranja	ranja	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	aNgarAga¦ pu0 aNgaM rajyate'nena ranja--karaRe GaY . aN
523	aṅgarāga	aNgarAga	ranja	ranja	nearest-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	ja--karaRe GaY . aNgalepane kuNkumAdO . BAve GaY . aN
527	aṅgalepa	aNgalepa	lipa	lipa	local		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	aNgalepa¦ pu0 aNgaM lipyate'nena lipa--karaRe GaY 6 ta
527	aṅgalepa	aNgalepa	lipa	lipa	nearest-root		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	pa--karaRe GaY 6 ta0 . aNgarAgadravye . BAve GaY 7 ta
531	aṅgavikṣepa	aNgavikzepa					BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	yaMprava- rttate iti saNgItadAmodaraH . BAve GaY . aN
